id,fips,state,county,population,household income,year,% insufficient sleep,physically unhealthy days,mentally unhealthy days,% obese,food environment index,% physically inactive,teen birth rate,# medicare enrollees,# some college,% unemployed,income ratio,% single-parent households,# violent crimes,Region,State Code
25,01051,Alabama,elmore,80902.0,51650.0,2015.0,33.62594982402949,4.4,4.4,30.1,7.4,30.5,42.065211647,8475.0,12234.0,5.9681093394,4.0432118802,29.543746645,142.66666667,Southeast,AL
26,01053,Alabama,escambia,37983.0,33455.0,2015.0,38.27282263098534,5.2,4.7,38.3,6.1,37.4,68.429598701,5123.0,4454.0,8.033043726,5.4753778645,49.172301236,216.66666667,Southeast,AL
27,01055,Alabama,etowah,103931.0,38587.0,2015.0,37.4804584106456,5.2,5.0,33.8,6.8,32.2,53.748053369,15409.0,13861.0,6.5123560327,4.6701589815,38.495046122,509.33333333,Southeast,AL
28,01057,Alabama,fayette,16909.0,35661.0,2015.0,35.16979628184514,5.6,5.2,36.3,7.6,30.6,51.849921834,2350.0,1403.0,7.3262958878,5.1972249017,38.332883733,29.333333333,Southeast,AL
29,01059,Alabama,franklin,31532.0,33332.0,2015.0,39.84384445965863,5.0,4.4,33.5,7.5,33.4,62.482983937,4624.0,3648.0,7.6893021802,4.7174515235,32.751205526,120.33333333,Southeast,AL
30,01061,Alabama,geneva,26727.0,35378.0,2015.0,35.44347103149348,4.3,3.4,34.5,7.7,31.3,53.817692566,4244.0,3064.0,6.5197172619,4.8376838479,44.911690496,86.0,Southeast,AL
31,01063,Alabama,greene,8744.0,25864.0,2015.0,45.09194686851623,5.1,5.3,48.1,2.9,32.9,51.282051282,1141.0,706.0,10.050251256,4.6922584773,53.559641678,93.333333333,Southeast,AL
32,01065,Alabama,hale,15406.0,33597.0,2015.0,37.09299486616617,3.9,4.1,36.2,6.1,34.6,43.577981651,2479.0,1510.0,9.8721590909,5.3960538572,60.541688794,26.5,Southeast,AL
33,01067,Alabama,henry,17296.0,41590.0,2015.0,35.45496074056013,4.0,3.5,34.1,7.6,29.8,46.801872075,2768.0,2358.0,6.8357382306,5.5398153683,30.691219642,55.333333333,Southeast,AL
34,01069,Alabama,houston,103668.0,39636.0,2015.0,37.80571834709608,4.5,4.3,32.9,6.7,30.1,54.835754482,12711.0,14592.0,6.2351410757,5.01378579,41.080136541,448.33333333,Southeast,AL
35,01071,Alabama,jackson,52951.0,37204.0,2015.0,33.51735488834515,5.8,5.3,29.0,7.7,32.9,53.914835165,8288.0,5654.0,6.2772689753,4.6430663758,25.429964918,143.33333333,Southeast,AL
36,01073,Alabama,jefferson,659479.0,45024.0,2015.0,40.086909856347596,3.7,3.9,32.9,6.0,27.7,47.18605193,50121.0,117999.0,6.0051366019,5.3516083916,42.956805408,4671.0,Southeast,AL
37,01075,Alabama,lamar,14236.0,36475.0,2015.0,37.72729560450714,7.1,6.0,32.8,7.6,35.5,56.420233463,2595.0,1551.0,6.880212282,4.3494237288,38.359201774,7.0,Southeast,AL
38,01077,Alabama,lauderdale,92797.0,43586.0,2015.0,35.87135023618219,4.6,3.6,31.2,7.3,29.5,34.930448223,13727.0,12458.0,6.0733008264,4.9830812459,31.62769278,167.0,Southeast,AL
39,01079,Alabama,lawrence,33587.0,40713.0,2015.0,34.777250302941674,4.6,5.5,38.6,7.8,36.1,52.32201936,3798.0,4145.0,7.3183832416,4.6842712317,36.634304207,66.333333333,Southeast,AL
40,01081,Alabama,lee,150933.0,44647.0,2015.0,35.58805903510647,3.7,5.2,30.0,6.2,24.1,23.937276888,11519.0,25635.0,5.169437892,5.9683047968,31.122902898,309.33333333,Southeast,AL
41,01083,Alabama,limestone,88845.0,50148.0,2015.0,35.54937983777317,3.6,3.1,33.4,7.9,31.0,41.409392171,8917.0,12938.0,5.4921259843,4.7425072664,28.710221077,103.66666667,Southeast,AL
42,01085,Alabama,lowndes,10703.0,29734.0,2015.0,41.276248448496155,4.8,4.2,43.7,2.8,32.1,61.890243902,1010.0,1130.0,11.868300153,5.6969944611,57.072617247,60.666666667,Southeast,AL
43,01087,Alabama,macon,19688.0,29228.0,2015.0,41.65812021119632,3.7,2.9,41.7,3.4,32.0,32.475342795,2191.0,2134.0,8.5912240185,5.4073120066,61.797752809,134.0,Southeast,AL
44,01089,Alabama,madison,346892.0,58258.0,2015.0,37.52651252024425,3.4,3.5,30.6,7.1,24.6,32.472513424,37659.0,63305.0,5.5475243947,5.002999831,32.452118989,1826.6666667,Southeast,AL
45,01091,Alabama,marengo,20155.0,33749.0,2015.0,37.97694005812164,4.8,4.5,42.3,4.9,33.8,46.474358974,2576.0,2287.0,8.0711535909,6.0029757118,49.111701041,83.666666667,Southeast,AL
46,01093,Alabama,marion,30334.0,34162.0,2015.0,37.09324522908921,4.6,4.3,34.1,7.6,36.6,59.329993738,4499.0,3454.0,7.9182517916,4.4331925906,31.278079009,69.666666667,Southeast,AL
47,01095,Alabama,marshall,94760.0,38399.0,2015.0,36.071757840522906,4.8,4.8,33.9,7.4,32.0,68.856842708,11250.0,10686.0,6.1032274268,4.8822784046,34.068248238,207.0,Southeast,AL
48,01097,Alabama,mobile,414079.0,42278.0,2015.0,39.008058337529704,4.5,4.8,35.9,5.9,28.9,56.525713186,31624.0,60501.0,7.533150996,5.2350356947,44.219076947,2472.3333333,Southeast,AL
49,01099,Alabama,monroe,22236.0,32696.0,2015.0,40.33024302927719,5.0,5.0,36.3,4.5,33.9,57.598656591,2793.0,2127.0,11.355862635,6.340294035,52.728245364,116.33333333,Southeast,AL
50,01101,Alabama,montgomery,226659.0,44013.0,2015.0,38.8389988308939,4.0,3.8,34.6,5.4,28.1,52.957794709,20916.0,37812.0,6.8578419379,5.3802604046,50.330495384,848.66666667,Southeast,AL
51,01103,Alabama,morgan,119787.0,44079.0,2015.0,35.83786133821975,4.5,4.0,30.2,7.7,28.8,49.235993209,16788.0,16406.0,6.0226563197,4.7569437166,32.588652482,279.33333333,Southeast,AL
52,01105,Alabama,perry,10020.0,25461.0,2015.0,45.13424784182603,5.2,4.2,38.7,4.8,33.6,50.659472422,1295.0,765.0,12.944009633,5.4603689438,58.45841785,41.42396085838842,Southeast,AL
53,01107,Alabama,pickens,19401.0,32314.0,2015.0,37.89667428638281,5.2,3.3,40.1,6.3,31.7,40.842373963,2969.0,2108.0,7.9804775096,5.8780988051,48.700288825,43.0,Southeast,AL
54,01109,Alabama,pike,33339.0,35944.0,2015.0,37.28926697355643,4.7,3.8,35.3,5.9,29.4,32.081852077,3554.0,4134.0,6.6241445751,6.3514612452,49.48501153,145.33333333,Southeast,AL
55,01111,Alabama,randolph,22727.0,35121.0,2015.0,35.85029043220667,4.0,4.8,34.1,7.0,33.8,51.465457083,3270.0,2213.0,7.3532850129,5.0880673047,38.16749904,69.0,Southeast,AL
56,01113,Alabama,russell,59585.0,35762.0,2015.0,39.16262820648039,5.0,5.0,34.2,5.7,32.6,56.960547817,5428.0,8988.0,7.4957337884,5.1692520958,48.460987831,243.0,Southeast,AL
57,01115,Alabama,st. clair,86308.0,52437.0,2015.0,35.63829808135465,4.2,4.0,31.7,8.2,29.1,46.55082234,6094.0,12293.0,5.6322021355,4.0610169492,30.14349232,154.33333333,Southeast,AL
58,01117,Alabama,shelby,204180.0,68718.0,2015.0,34.48846465546159,3.3,3.6,31.5,8.5,22.2,23.159144893,16492.0,42363.0,4.3549798372,4.0506527928,21.157945542,346.66666667,Southeast,AL
59,01119,Alabama,sumter,13361.0,24504.0,2015.0,43.31728058138804,4.3,5.4,40.4,3.8,31.2,33.565823888,1666.0,1389.0,9.8684210526,5.6593917349,59.63523744,59.0,Southeast,AL
60,01121,Alabama,talladega,81096.0,38505.0,2015.0,36.894688563959484,5.6,5.1,38.0,6.4,36.7,51.195057727,8987.0,9673.0,7.1107110711,5.0050866743,40.450614224,248.33333333,Southeast,AL
61,01123,Alabama,tallapoosa,41203.0,37747.0,2015.0,35.94031604186672,5.8,5.2,35.6,6.8,30.8,58.551617874,5821.0,4394.0,7.7340966178,4.7015041184,47.044498561,173.33333333,Southeast,AL
62,01125,Alabama,tuscaloosa,200821.0,45959.0,2015.0,35.69496086708894,4.3,4.1,32.9,6.5,27.9,29.814187872,19765.0,31013.0,5.8437550755,5.2833727708,38.232092314,847.66666667,Southeast,AL
63,01127,Alabama,walker,65998.0,37193.0,2015.0,36.53991648615698,6.5,6.5,33.4,7.5,35.8,57.971014493,9044.0,8249.0,6.6468511982,4.6564306583,34.052986447,199.0,Southeast,AL
64,01129,Alabama,washington,16877.0,41115.0,2015.0,35.34047520148329,4.6,3.2,36.1,7.1,30.9,42.164441321,2314.0,1587.0,10.194855807,5.1113226084,29.342167534,51.0,Southeast,AL
65,01131,Alabama,wilcox,11307.0,23184.0,2015.0,44.55582246477118,4.1,3.6,42.8,1.8,31.6,49.641148325,1591.0,845.0,15.643370346,6.7665177522,67.39345887,25.0,Southeast,AL
66,01133,Alabama,winston,24146.0,33578.0,2015.0,35.6453451234651,4.6,6.5,33.4,7.4,33.3,54.485308426,3907.0,2763.0,8.9497206704,4.8017143667,29.453541132,53.333333333,Southeast,AL
67,02013,Alaska,aleutians east,3092.0,56856.0,2015.0,31.98343528068645,2.9,3.8,32.3,4.7,28.6,60.931899642,714.6206073874281,408.0,11.467116358,3.6462693878,40.0,4.32413774106925,West,AK
68,02016,Alaska,aleutians west,5511.0,74088.0,2015.0,33.20587868825919,2.1,2.1,32.9,6.6,22.0,21.582733813,604.9929674796053,934.0,8.8034717917,3.907432526,28.867235079,15.0,West,AK
69,02020,Alaska,anchorage,300950.0,76362.0,2015.0,31.84495511530538,3.3,3.0,26.8,8.0,18.0,36.695441892,22704.0,60990.0,5.0428860548,3.8061910073,30.852142362,2436.3333333,West,AK
70,02050,Alaska,bethel,17758.0,42876.0,2015.0,36.240966752031845,3.3,2.6,32.4,2.8,29.2,80.993150685,986.0,1678.0,15.447598253,4.5394508009,28.982694485,31.73688714309052,West,AK
71,02060,Alaska,bristol bay,960.0,65283.0,2015.0,32.14350082102039,1.4,1.3,33.1,7.9,21.3,50.387596899,510.2252040550146,135.0,3.7320574163,2.9751811315,40.316205534,1.3333333333,West,AK
72,02068,Alaska,denali,1867.0,68103.0,2015.0,32.44596835854313,2.7,2.3,23.6,6.1,16.9,34.65711306488432,492.180206654273,431.0,8.7560806115,3.470741688,4.5766590389,4.242963838573626,West,AK
73,02070,Alaska,dillingham,5010.0,47930.0,2015.0,27.290575544651954,2.7,2.3,31.6,5.8,27.3,57.635175282,852.6194002696221,542.0,9.5260441107,5.0232018561,31.569115816,9.364657604623746,West,AK
74,02090,Alaska,fairbanks north star,100436.0,67204.0,2015.0,32.194181212712806,3.5,3.0,28.5,7.3,20.2,37.462712757,6492.0,20420.0,5.7980570575,3.9393727559,30.770782076,149.51408128174694,West,AK
75,02100,Alaska,haines,2592.0,55295.0,2015.0,33.18837659514609,3.1,2.0,28.4,7.7,19.1,41.18205809112575,573.241799180946,373.0,7.8751857355,3.1528439675,34.845360825,8.3333333333,West,AK
76,02110,Alaska,juneau,32660.0,83642.0,2015.0,30.1121753965392,3.5,3.0,26.9,8.0,15.8,25.627615063,2973.0,6630.0,4.6226154271,3.1467913622,33.738098524,135.66666667,West,AK
77,02122,Alaska,kenai peninsula,57147.0,61629.0,2015.0,30.22473794208644,3.6,3.0,27.5,7.7,21.7,29.58758986,6792.0,8252.0,7.4582296481,4.3969919685,28.560542559,85.07676978443581,West,AK
78,02130,Alaska,ketchikan gateway,13729.0,62619.0,2015.0,27.571060754206773,3.6,3.2,28.0,8.0,20.7,29.809465274,1460.0,2108.0,6.1444308446,3.8035340314,27.589483687,28.666666667,West,AK
79,02150,Alaska,kodiak island,14135.0,64782.0,2015.0,29.750667138909158,2.8,2.1,31.5,7.8,21.2,31.814273431,1004.0,2560.0,5.6057076296,3.8559037224,33.665443104,24.45571413169354,West,AK
80,02164,Alaska,lake and peninsula,1648.0,43936.0,2015.0,28.627869834807637,2.8,2.6,32.6,2.7,24.9,49.056603774,600.7018797961728,151.0,7.3555166375,4.6907311849,45.213849287,1.5718816693333244,West,AK
81,02170,Alaska,matanuska-susitna,95192.0,72371.0,2015.0,31.68121458866923,3.7,3.3,29.8,7.9,22.3,32.649213762,7696.0,14876.0,7.2718120038,4.1470311027,24.205731195,60.28219395603056,West,AK
82,02180,Alaska,nome,9892.0,46471.0,2015.0,32.09101334344057,3.7,2.4,34.1,3.0,25.2,94.031343781,595.0,1058.0,11.740498669,5.0433575204,50.334143378,11.125524363919133,West,AK
83,02185,Alaska,north slope,9686.0,74174.0,2015.0,32.71817050392603,3.3,1.7,34.2,7.5,25.5,92.235294118,607.0,1429.0,4.9945315348,3.3987912313,47.517730496,77.666666667,West,AK
84,02188,Alaska,northwest arctic,7685.0,54600.0,2015.0,29.906150568066785,4.5,1.8,29.7,3.3,26.8,94.707520891,972.9845752979335,669.0,15.177713737,4.5255216449,44.062733383,18.867489252949056,West,AK
85,02201,Alaska,prince of wales-outer ketchikan,5786.0,48175.0,2015.0,27.998505018726803,4.7,2.8,35.5,6.5,26.0,47.858942065,657.0,609.0,12.839506173,4.5275967804,41.020114943,11.355613095612702,West,AK
86,02220,Alaska,sitka,9020.0,66038.0,2015.0,30.32155958257844,3.1,2.5,28.8,7.7,17.2,28.350515464,995.0,1736.0,5.2367444905,3.9866141219,29.317851959,20.333333333,West,AK
87,02232,Alaska,skagway-hoonah-angoon,3140.0,49137.697452,2015.0,29.45190666778839,2.9,1.9,30.9,5.0,20.5,26.315789474,720.7740285318107,433.0,12.702561422,4.0389664079,39.745627981,3.650405601384584,West,AK
88,02240,Alaska,southeast fairbanks,6985.0,54922.0,2015.0,29.911642283366703,4.0,2.2,32.5,6.8,20.0,37.602179837,934.0,1110.0,11.071321993,4.8476475955,27.380311996,11.0788907245439,West,AK
89,02261,Alaska,valdez-cordova,9763.0,63541.0,2015.0,30.25518756299182,4.4,3.4,29.7,7.4,24.2,24.52912834,765.0,1757.0,8.719709979,4.6102859522,36.294736842,21.666666667,West,AK
90,02270,Alaska,wade hampton,7977.0,31274.0,2015.0,37.38189066242479,5.6,3.5,34.6,1.2,27.9,107.14285714,963.4452809527129,437.0,22.134951803,4.0136121093,41.086001255,20.215043223808077,West,AK
91,02280,Alaska,wrangell-petersburg,6174.0,54624.202138,2015.0,29.24079943996428,3.5,3.3,30.1,7.9,20.0,35.907859079,940.4356178803038,840.0,9.215396003,4.646874758,37.469782434,14.333333333,West,AK
92,02282,Alaska,yakutat,642.0,56365.0,2015.0,34.196937758946355,2.5085947278367713,2.301356720235998,31.1,7.9,24.1,40.7348745228355,590.3744163987534,103.0,8.7719298246,2.8565180548,41.549295775,2.8487032287035268,West,AK
93,02290,Alaska,yukon-koyukuk,5695.0,35114.0,2015.0,34.79166790407558,4.4,2.5,26.3,1.6,25.6,61.538461538,528.0,573.0,14.758190328,5.6351726593,51.213282248,20.26833279928312,West,AK
94,04001,Arizona,apache,71934.0,30252.0,2015.0,35.94066467800627,3.8,4.3,31.9,0.9,22.3,56.821112353,6390.0,7421.0,19.79649787,6.1506260155,49.270554015,66.0,Southwest,AZ
95,04003,Arizona,cochise,129473.0,45294.0,2015.0,34.80461143990911,4.2,3.8,23.6,6.4,21.4,50.458260265,15915.0,20196.0,8.8052914427,4.9262892677,34.665766374,785.0,Southwest,AZ
96,04005,Arizona,coconino,136539.0,48732.0,2015.0,34.92908170661292,3.1,3.1,24.0,5.7,15.9,33.994275522,10518.0,22438.0,8.108559499,5.1087978864,38.277310924,510.33333333,Southwest,AZ
97,04007,Arizona,gila,53053.0,39868.0,2015.0,33.84527555730691,4.6,5.5,27.1,6.2,25.2,78.826845165,9800.0,4698.0,9.3089949017,4.2409509892,42.280177488,170.66666667,Southwest,AZ
98,04009,Arizona,graham,37482.0,43497.0,2015.0,34.30911134443328,4.3,4.3,35.0,6.1,24.2,63.360625233,2891.0,4879.0,7.576933023,4.5357421223,36.516962221,246.0,Southwest,AZ
99,04011,Arizona,greenlee,9049.0,54673.0,2015.0,30.226105236142867,4.2,3.7,35.4,5.0,24.5,64.565327911,740.0,1203.0,6.2032556093,3.7072380952,35.839803841,55.0,Southwest,AZ
100,04012,Arizona,la paz,20324.0,33994.0,2015.0,37.83905105344499,5.3,5.2,32.0,5.5,30.7,70.947840718,3549.0,1343.0,9.3703852866,3.876194668,44.372537985,73.333333333,Southwest,AZ
101,04013,Arizona,maricopa,4009412.0,52066.0,2015.0,33.013800404437106,3.2,3.2,22.6,7.3,19.6,47.717259246,256409.0,689230.0,6.7275509228,4.5348648186,34.970104566,15421.333333,Southwest,AZ
102,04015,Arizona,mohave,203030.0,38560.0,2015.0,33.94428652205025,4.4,4.4,26.6,5.4,30.7,53.920709259,34184.0,18628.0,9.6429973472,4.0161025304,35.845422711,391.66666667,Southwest,AZ
103,04017,Arizona,navajo,107322.0,37182.0,2015.0,36.81266654517491,4.1,3.7,31.2,4.3,23.9,67.630567631,11409.0,11639.0,15.190235034,5.472068482,43.650053091,406.33333333,Southwest,AZ
104,04019,Arizona,pima,996554.0,43926.0,2015.0,31.773399297263524,3.7,3.5,22.1,6.9,18.9,42.607974813,84162.0,156534.0,7.0264335782,4.8060628196,38.625981263,4428.6666667,Southwest,AZ
105,04021,Arizona,pinal,389350.0,49887.0,2015.0,35.50634402603455,3.5,3.5,30.2,7.3,23.6,55.949289079,26817.0,58484.0,8.6038775627,3.7283607248,33.487681376,811.33333333,Southwest,AZ
106,04023,Arizona,santa cruz,46768.0,35753.0,2015.0,37.40631898088323,2.8,2.9,20.5,5.9,17.8,55.869823312,3311.0,5046.0,17.996508812,5.5899558873,35.514549326,60.0,Southwest,AZ
107,04025,Arizona,yavapai,215133.0,40486.0,2015.0,31.000514923725916,4.2,4.1,25.9,6.3,19.6,46.243210622,40443.0,23547.0,8.0463071383,4.1455073646,31.86529167,707.66666667,Southwest,AZ
108,04027,Arizona,yuma,201201.0,40498.0,2015.0,35.15530556729677,4.0,3.1,31.2,4.7,25.1,66.115857666,18817.0,26116.0,27.653334514,4.0312948166,34.345059742,636.33333333,Southwest,AZ
109,05001,Arkansas,arkansas,18777.0,38497.0,2015.0,35.85590945133668,4.3,4.0,35.1,6.1,35.4,64.775413712,2845.0,2152.0,6.6535100085,4.1453393187,35.328096118,78.333333333,Midwest,AR
110,05003,Arkansas,ashley,21283.0,36479.0,2015.0,35.842532982530734,4.2,3.0,36.1,5.4,33.3,68.97830521,3175.0,2410.0,11.772181146,4.7852513228,34.637625289,60.333333333,Midwest,AR
111,05005,Arkansas,baxter,40957.0,36082.0,2015.0,33.83248370780205,3.8,4.1,29.3,7.0,29.8,47.612359551,8838.0,4604.0,8.1184860121,4.0402772798,32.768675368,41.666666667,Midwest,AR
112,05007,Arkansas,benton,237297.0,56518.0,2015.0,33.076927828803434,3.2,3.0,27.2,7.4,24.6,46.005357371,19547.0,37985.0,5.737704918,4.0829655092,22.082717873,605.66666667,Midwest,AR
113,05009,Arkansas,boone,37396.0,38410.0,2015.0,35.31348501875047,3.8,4.0,26.3,6.5,31.0,54.449205949,5509.0,4775.0,7.4332948398,4.1327060165,29.985771876,108.0,Midwest,AR
114,05011,Arkansas,bradley,11249.0,31733.0,2015.0,38.952945845547276,3.5,3.7,34.7,5.9,34.6,72.403335861,1692.0,972.0,9.100711667,5.1483434854,44.406522564,29.0,Midwest,AR
115,05013,Arkansas,calhoun,5241.0,37497.0,2015.0,31.752534451989042,3.3,3.396459786570669,35.2,3.9,35.2,41.633306645,754.0,560.0,9.1182795699,4.3540835329,55.294117647,7.0,Midwest,AR
116,05015,Arkansas,carroll,27808.0,34109.0,2015.0,36.94614851767587,4.1,4.1,33.5,7.4,29.5,65.503804045,3961.0,2579.0,5.6699514635,4.2336597452,30.284757119,66.333333333,Midwest,AR
117,05017,Arkansas,chicot,11335.0,28006.0,2015.0,42.39981013859581,7.2,3.9,38.5,5.0,35.9,73.494917905,1447.0,992.0,10.878946173,5.4769435806,52.260738508,58.5,Midwest,AR
118,05019,Arkansas,clark,22743.0,36517.0,2015.0,34.887929665252805,4.0,2.6,32.5,6.0,30.5,27.297743533,3014.0,2735.0,9.0141665049,5.5345628812,36.687584043,90.0,Midwest,AR
119,05021,Arkansas,clay,15402.0,33488.0,2015.0,36.289387841709015,5.9,3.4,31.7,6.4,36.4,68.226120858,2771.0,1453.0,11.363257133,4.326602831,35.53092182,14.0,Midwest,AR
120,05023,Arkansas,cleburne,25686.0,41612.0,2015.0,33.070103219132136,5.5,4.5,28.0,7.2,33.2,52.566735113,5178.0,2785.0,7.7182698286,4.5667065868,29.829712272,57.666666667,Midwest,AR
121,05025,Arkansas,cleveland,8593.0,42414.0,2015.0,30.673496466923734,5.5,4.9,35.4,6.5,30.2,46.498905908,1215.0,1005.0,7.8920570265,4.6136783734,28.719886632,6.0,Midwest,AR
122,05027,Arkansas,columbia,24164.0,36927.0,2015.0,36.221716298806534,3.8,4.6,37.0,5.5,31.3,52.733367715,3097.0,3041.0,9.1051477498,6.0461747397,50.357142857,79.666666667,Midwest,AR
123,05029,Arkansas,conway,21245.0,38145.0,2015.0,35.69149404933596,4.9,6.2,39.7,6.0,33.1,66.110531804,2739.0,2441.0,8.1419196062,5.0553466588,38.619854722,56.0,Midwest,AR
124,05031,Arkansas,craighead,101488.0,41608.0,2015.0,35.271375687040866,3.9,3.5,34.0,5.9,33.6,49.355109212,10377.0,15793.0,6.8578197116,5.0325663717,40.705181261,353.33333333,Midwest,AR
125,05033,Arkansas,crawford,61640.0,39384.0,2015.0,34.12876408238473,3.9,4.4,37.7,6.5,32.5,54.622134549,5495.0,7807.0,7.8279396099,4.2553929348,36.047020572,220.33333333,Midwest,AR
126,05035,Arkansas,crittenden,49746.0,37726.0,2015.0,35.492371732492536,5.0,4.2,38.2,4.9,33.6,86.453220016,4632.0,6563.0,10.827803004,5.2431885005,56.603641457,899.33333333,Midwest,AR
127,05037,Arkansas,cross,17548.0,35438.0,2015.0,35.19183523413321,4.4,4.5,37.5,6.0,35.6,63.520070578,2348.0,1550.0,8.3416708354,4.3807166285,29.084299023,59.333333333,Midwest,AR
